x,y,basin,iterations
-2.0,-2.0,4,6
-2.0,-1.95,4,6
-2.0,-1.9,4,6
-2.0,-1.85,4,6
-2.0,-1.8,4,6
-2.0,-1.75,4,6
-2.0,-1.7,4,6
-2.0,-1.65,4,6
-2.0,-1.6,4,6
-2.0,-1.55,4,6
-2.0,-1.5,4,6
-2.0,-1.45,4,6
-2.0,-1.4,4,6
-2.0,-1.35,4,6
-2.0,-1.3,4,6
-2.0,-1.25,4,6
-2.0,-1.2,4,6
-2.0,-1.15,4,6
-2.0,-1.1,4,6
-2.0,-1.05,4,6
-2.0,-1.0,4,6
-2.0,-0.95,4,6
-2.0,-0.8999999999999999,4,6
-2.0,-0.8500000000000001,4,6
-2.0,-0.8,4,6
-2.0,-0.75,4,6
-2.0,-0.7,4,6
-2.0,-0.6499999999999999,4,6
-2.0,-0.6000000000000001,4,6
-2.0,-0.55,4,6
-2.0,-0.5,4,7
-2.0,-0.44999999999999996,4,7
-2.0,-0.3999999999999999,4,9
-2.0,-0.3500000000000001,3,8
-2.0,-0.30000000000000004,3,8
-2.0,-0.25,1,11
-2.0,-0.19999999999999996,3,9
-2.0,-0.1499999999999999,4,9
-2.0,-0.10000000000000009,4,9
-2.0,-0.050000000000000044,3,11
-2.0,0.0,-2,30
-2.0,0.04999999999999982,1,11
-2.0,0.10000000000000009,2,9
-2.0,0.1499999999999999,2,9
-2.0,0.20000000000000018,1,9
-2.0,0.25,3,11
-2.0,0.2999999999999998,1,8
-2.0,0.3500000000000001,1,8
-2.0,0.3999999999999999,2,9
-2.0,0.4500000000000002,2,7
-2.0,0.5,2,7
-2.0,0.5499999999999998,2,6
-2.0,0.6000000000000001,2,6
-2.0,0.6499999999999999,2,6
-2.0,0.7000000000000002,2,6
-2.0,0.75,2,6
-2.0,0.7999999999999998,2,6
-2.0,0.8500000000000001,2,6
-2.0,0.8999999999999999,2,6
-2.0,0.9500000000000002,2,6
-2.0,1.0,2,6
-2.0,1.0499999999999998,2,6
-2.0,1.1,2,6
-2.0,1.15,2,6
-2.0,1.2000000000000002,2,6
-2.0,1.25,2,6
-2.0,1.2999999999999998,2,6
-2.0,1.35,2,6
-2.0,1.4,2,6
-2.0,1.4500000000000002,2,6
-2.0,1.5,2,6
-2.0,1.5499999999999998,2,6
-2.0,1.6,2,6
-2.0,1.65,2,6
-2.0,1.7000000000000002,2,6
-2.0,1.75,2,6
-2.0,1.7999999999999998,2,6
-2.0,1.85,2,6
-2.0,1.9,2,6
-2.0,1.9500000000000002,2,6
-2.0,2.0,2,6
-1.95,-2.0,4,6
-1.95,-1.95,4,6
-1.95,-1.9,4,6
-1.95,-1.85,4,6
-1.95,-1.8,4,6
-1.95,-1.75,4,6
-1.95,-1.7,4,6
-1.95,-1.65,4,6
-1.95,-1.6,4,6
-1.95,-1.55,4,6
-1.95,-1.5,4,6
-1.95,-1.45,4,6
-1.95,-1.4,4,6
-1.95,-1.35,4,6
-1.95,-1.3,4,6
-1.95,-1.25,4,6
-1.95,-1.2,4,6
-1.95,-1.15,4,6
-1.95,-1.1,4,6
-1.95,-1.05,4,6
-1.95,-1.0,4,6
-1.95,-0.95,4,6
-1.95,-0.8999999999999999,4,6
-1.95,-0.8500000000000001,4,6
-1.95,-0.8,4,6
-1.95,-0.75,4,6
-1.95,-0.7,4,6
-1.95,-0.6499999999999999,4,6
-1.95,-0.6000000000000001,4,6
-1.95,-0.55,4,6
-1.95,-0.5,4,6
-1.95,-0.44999999999999996,4,7
-1.95,-0.3999999999999999,4,8
-1.95,-0.3500000000000001,3,8
-1.95,-0.30000000000000004,3,8
-1.95,-0.25,1,10
-1.95,-0.19999999999999996,3,9
-1.95,-0.1499999999999999,4,8
-1.95,-0.10000000000000009,4,10
-1.95,-0.050000000000000044,1,14
-1.95,0.0,-2,30
-1.95,0.04999999999999982,3,14
-1.95,0.10000000000000009,2,10
-1.95,0.1499999999999999,2,8
-1.95,0.20000000000000018,1,9
-1.95,0.25,3,10
-1.95,0.2999999999999998,1,8
-1.95,0.3500000000000001,1,8
-1.95,0.3999999999999999,2,8
-1.95,0.4500000000000002,2,7
-1.95,0.5,2,6
-1.95,0.5499999999999998,2,6
-1.95,0.6000000000000001,2,6
-1.95,0.6499999999999999,2,6
-1.95,0.7000000000000002,2,6
-1.95,0.75,2,6
-1.95,0.7999999999999998,2,6
-1.95,0.8500000000000001,2,6
-1.95,0.8999999999999999,2,6
-1.95,0.9500000000000002,2,6
-1.95,1.0,2,6
-1.95,1.0499999999999998,2,6
-1.95,1.1,2,6
-1.95,1.15,2,6
-1.95,1.2000000000000002,2,6
-1.95,1.25,2,6
-1.95,1.2999999999999998,2,6
-1.95,1.35,2,6
-1.95,1.4,2,6
-1.95,1.4500000000000002,2,6
-1.95,1.5,2,6
-1.95,1.5499999999999998,2,6
-1.95,1.6,2,6
-1.95,1.65,2,6
-1.95,1.7000000000000002,2,6
-1.95,1.75,2,6
-1.95,1.7999999999999998,2,6
-1.95,1.85,2,6
-1.95,1.9,2,6
-1.95,1.9500000000000002,2,6
-1.95,2.0,2,6
-1.9,-2.0,4,6
-1.9,-1.95,4,6
-1.9,-1.9,4,6
-1.9,-1.85,4,6
-1.9,-1.8,4,6
-1.9,-1.75,4,6
-1.9,-1.7,4,6
-1.9,-1.65,4,6
-1.9,-1.6,4,6
-1.9,-1.55,4,6
-1.9,-1.5,4,6
-1.9,-1.45,4,6
-1.9,-1.4,4,6
-1.9,-1.35,4,6
-1.9,-1.3,4,6
-1.9,-1.25,4,6
-1.9,-1.2,4,6
-1.9,-1.15,4,6
-1.9,-1.1,4,6
-1.9,-1.05,4,6
-1.9,-1.0,4,6
-1.9,-0.95,4,6
-1.9,-0.8999999999999999,4,6
-1.9,-0.8500000000000001,4,6
-1.9,-0.8,4,6
-1.9,-0.75,4,6
-1.9,-0.7,4,6
-1.9,-0.6499999999999999,4,6
-1.9,-0.6000000000000001,4,6
-1.9,-0.55,4,6
-1.9,-0.5,4,6
-1.9,-0.44999999999999996,4,7
-1.9,-0.3999999999999999,4,8
-1.9,-0.3500000000000001,3,8
-1.9,-0.30000000000000004,3,8
-1.9,-0.25,3,10
-1.9,-0.19999999999999996,3,9
-1.9,-0.1499999999999999,4,8
-1.9,-0.10000000000000009,1,13
-1.9,-0.050000000000000044,4,10
-1.9,0.0,-2,30
-1.9,0.04999999999999982,2,10
-1.9,0.10000000000000009,3,13
-1.9,0.1499999999999999,2,8
-1.9,0.20000000000000018,1,9
-1.9,0.25,1,10
-1.9,0.2999999999999998,1,8
-1.9,0.3500000000000001,1,8
-1.9,0.3999999999999999,2,8
-1.9,0.4500000000000002,2,7
-1.9,0.5,2,6
-1.9,0.5499999999999998,2,6
-1.9,0.6000000000000001,2,6
-1.9,0.6499999999999999,2,6
-1.9,0.7000000000000002,2,6
-1.9,0.75,2,6
-1.9,0.7999999999999998,2,6
-1.9,0.8500000000000001,2,6
-1.9,0.8999999999999999,2,6
-1.9,0.9500000000000002,2,6
-1.9,1.0,2,6
-1.9,1.0499999999999998,2,6
-1.9,1.1,2,6
-1.9,1.15,2,6
-1.9,1.2000000000000002,2,6
-1.9,1.25,2,6
-1.9,1.2999999999999998,2,6
-1.9,1.35,2,6
-1.9,1.4,2,6
-1.9,1.4500000000000002,2,6
-1.9,1.5,2,6
-1.9,1.5499999999999998,2,6
-1.9,1.6,2,6
-1.9,1.65,2,6
-1.9,1.7000000000000002,2,6
-1.9,1.75,2,6
-1.9,1.7999999999999998,2,6
-1.9,1.85,2,6
-1.9,1.9,2,6
-1.9,1.9500000000000002,2,6
-1.9,2.0,2,6
-1.85,-2.0,4,6
-1.85,-1.95,4,6
-1.85,-1.9,4,6
